"H/D(Time), créé par Plot Digitizer, 2.6.8"
"Date: 06/06/20, 14:54:18"


53
Time,H/D
0.0933333,0.404866,
1.40000,0.288671,
2.33333,0.208787,
3.82667,0.176107,
7.74667,0.223312,
9.05333,0.397603,
10.9200,0.531954,
13.7200,0.648148,
17.2667,0.742556,
19.1333,0.767974,
19.8800,0.873275,
21.5600,1.04394,
22.4933,1.17829,
26.0400,1.20733,
29.2133,1.30174,
30.8933,1.33442,
32.9467,1.31264,
35.1867,1.26180,
38.5467,1.25454,
41.1600,1.19644,
43.7733,1.08025,
45.6400,1.01489,
46.9467,0.967683,
48.4400,0.866013,
50.8667,0.713508,
52.7333,0.571895,
54.9733,0.466594,
57.7733,0.328613,
60.0133,0.274147,
62.8133,0.270516,
63.9333,0.379448,
65.9867,0.506536,
69.7200,0.593682,
71.9600,0.662672,
73.8267,0.804285,
75.5067,0.909586,
77.9333,0.974946,
80.7333,0.989470,
82.9733,1.11293,
85.7733,1.13108,
88.5733,1.05846,
91.3733,1.05483,
93.9867,1.05483,
96.4133,0.927741,
98.6533,0.851489,
101.453,0.786129,
103.507,0.651779,
105.747,0.499274,
108.360,0.386710,
110.040,0.350399,
110.787,0.277778,
113.587,0.266885,
116.387,0.386710,
