"H/D(Time (ms)), créé par Plot Digitizer, 2.6.8"
"Date: 06/06/20, 14:48:59"


50
Time (ms),H/D
5.88000,0.217865,
7.28000,0.462963,
9.24000,0.708061,
11.2000,0.893246,
14.2800,1.04031,
16.8000,1.28540,
19.3200,1.51961,
21.8400,1.66122,
25.2000,1.81373,
25.7600,1.98257,
28.8400,2.14052,
32.2000,2.17865,
36.4000,2.30937,
39.2000,2.26035,
40.3200,2.20588,
44.2400,2.09150,
47.0400,1.96078,
50.1200,1.79194,
52.6400,1.59041,
55.1600,1.39434,
56.8400,1.17647,
59.0800,0.964052,
60.7600,0.729847,
62.4400,0.511983,
65.8000,0.283224,
66.9200,0.217865,
69.1600,0.228758,
71.4000,0.462963,
74.2000,0.680828,
75.8800,0.697168,
79.5200,0.958606,
81.4800,1.15468,
84.2800,1.27996,
87.0800,1.36710,
88.4800,1.43246,
90.7200,1.44880,
93.2400,1.44880,
95.2000,1.42702,
96.3200,1.37800,
98,1.41068,
100.240,1.34532,
101.360,1.25817,
103.600,1.16013,
106.400,0.991285,
108.080,0.844227,
109.480,0.702614,
111.720,0.544662,
113.960,0.462963,
115.080,0.364924,
118.160,0.250545,
