"rho","velocity:0","velocity:1","velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,2.4769e-06,2.0189e-12,0,1,0,49.5,0,0
1,9.3673e-06,1.8189e-12,0,1,0.099,49.5,0.099,0
1,1.6258e-05,1.619e-12,0,1,0.198,49.5,0.198,0
1,2.3148e-05,1.419e-12,0,1,0.297,49.5,0.297,0
1,3.0038e-05,1.2191e-12,0,1,0.396,49.5,0.396,0
1,3.6929e-05,1.0192e-12,0,1,0.495,49.5,0.495,0
1,4.3819e-05,8.1921e-13,0,1,0.594,49.5,0.594,0
1,5.071e-05,6.1926e-13,0,1,0.693,49.5,0.693,0
1,5.76e-05,4.1932e-13,0,1,0.792,49.5,0.792,0
1,6.449e-05,2.1938e-13,0,1,0.891,49.5,0.891,0
1,7.1381e-05,1.9433e-14,0,1,0.99,49.5,0.99,0
1,8.4769e-05,-8.4603e-16,0,1,1.089,49.5,1.089,0
1,9.8888e-05,-9.3808e-16,0,1,1.188,49.5,1.188,0
1,0.00011301,-1.0301e-15,0,1,1.287,49.5,1.287,0
1,0.00012713,-1.1222e-15,0,1,1.386,49.5,1.386,0
1,0.00014124,-1.2142e-15,0,1,1.485,49.5,1.485,0
1,0.00015536,-1.3063e-15,0,1,1.584,49.5,1.584,0
1,0.00016948,-1.3983e-15,0,1,1.683,49.5,1.683,0
1,0.0001836,-1.4904e-15,0,1,1.782,49.5,1.782,0
1,0.00019772,-1.5824e-15,0,1,1.881,49.5,1.881,0
1,0.00021184,-1.6745e-15,0,1,1.98,49.5,1.98,0
1,0.00022572,-1.7523e-15,0,1,2.079,49.5,2.079,0
1,0.00023954,-1.8265e-15,0,1,2.178,49.5,2.178,0
1,0.00025336,-1.9007e-15,0,1,2.277,49.5,2.277,0
1,0.00026719,-1.9749e-15,0,1,2.376,49.5,2.376,0
1,0.00028101,-2.0491e-15,0,1,2.475,49.5,2.475,0
1,0.00029483,-2.1232e-15,0,1,2.574,49.5,2.574,0
1,0.00030865,-2.1974e-15,0,1,2.673,49.5,2.673,0
1,0.00032248,-2.2716e-15,0,1,2.772,49.5,2.772,0
1,0.0003363,-2.3458e-15,0,1,2.871,49.5,2.871,0
1,0.00035012,-2.42e-15,0,1,2.97,49.5,2.97,0
1,0.00036373,-2.5373e-15,0,1,3.069,49.5,3.069,0
1,0.00037726,-2.6733e-15,0,1,3.168,49.5,3.168,0
1,0.00039079,-2.8093e-15,0,1,3.267,49.5,3.267,0
1,0.00040431,-2.9453e-15,0,1,3.366,49.5,3.366,0
1,0.00041784,-3.0814e-15,0,1,3.465,49.5,3.465,0
1,0.00043136,-3.2174e-15,0,1,3.564,49.5,3.564,0
1,0.00044489,-3.3534e-15,0,1,3.663,49.5,3.663,0
1,0.00045841,-3.4894e-15,0,1,3.762,49.5,3.762,0
1,0.00047194,-3.6254e-15,0,1,3.861,49.5,3.861,0
1,0.00048546,-3.7614e-15,0,1,3.96,49.5,3.96,0
1,0.00049881,-3.8753e-15,0,1,4.059,49.5,4.059,0
1,0.00051204,-3.9743e-15,0,1,4.158,49.5,4.158,0
1,0.00052527,-4.0732e-15,0,1,4.257,49.5,4.257,0
1,0.0005385,-4.1721e-15,0,1,4.356,49.5,4.356,0
1,0.00055173,-4.271e-15,0,1,4.455,49.5,4.455,0
1,0.00056496,-4.3699e-15,0,1,4.554,49.5,4.554,0
1,0.00057818,-4.4689e-15,0,1,4.653,49.5,4.653,0
1,0.00059141,-4.5678e-15,0,1,4.752,49.5,4.752,0
1,0.00060464,-4.6667e-15,0,1,4.851,49.5,4.851,0
1,0.00061787,-4.7656e-15,0,1,4.95,49.5,4.95,0
1,0.00063095,-4.885e-15,0,1,5.049,49.5,5.049,0
1,0.00064389,-5.0251e-15,0,1,5.148,49.5,5.148,0
1,0.00065682,-5.1652e-15,0,1,5.247,49.5,5.247,0
1,0.00066975,-5.3054e-15,0,1,5.346,49.5,5.346,0
1,0.00068268,-5.4455e-15,0,1,5.445,49.5,5.445,0
1,0.00069562,-5.5856e-15,0,1,5.544,49.5,5.544,0
1,0.00070855,-5.7258e-15,0,1,5.643,49.5,5.643,0
1,0.00072148,-5.8659e-15,0,1,5.742,49.5,5.742,0
1,0.00073441,-6.0061e-15,0,1,5.841,49.5,5.841,0
1,0.00074735,-6.1462e-15,0,1,5.94,49.5,5.94,0
1,0.00076016,-6.2544e-15,0,1,6.039,49.5,6.039,0
1,0.0007728,-6.3135e-15,0,1,6.138,49.5,6.138,0
1,0.00078543,-6.3726e-15,0,1,6.237,49.5,6.237,0
1,0.00079807,-6.4316e-15,0,1,6.336,49.5,6.336,0
1,0.00081071,-6.4907e-15,0,1,6.435,49.5,6.435,0
1,0.00082334,-6.5498e-15,0,1,6.534,49.5,6.534,0
1,0.00083598,-6.6089e-15,0,1,6.633,49.5,6.633,0
1,0.00084862,-6.6679e-15,0,1,6.732,49.5,6.732,0
1,0.00086125,-6.727e-15,0,1,6.831,49.5,6.831,0
1,0.00087389,-6.7861e-15,0,1,6.93,49.5,6.93,0
1,0.00088644,-6.8625e-15,0,1,7.029,49.5,7.029,0
1,0.00089878,-6.9806e-15,0,1,7.128,49.5,7.128,0
1,0.00091112,-7.0988e-15,0,1,7.227,49.5,7.227,0
1,0.00092346,-7.2169e-15,0,1,7.326,49.5,7.326,0
1,0.0009358,-7.3351e-15,0,1,7.425,49.5,7.425,0
1,0.00094814,-7.4533e-15,0,1,7.524,49.5,7.524,0
